Warehouse,istanbul
T-shirts,100.00000000000003
BathTowel,9.000000000000002
Table&Chair,100.00000000000003
Beds,18.000000000000004
Carpets,9.000000000000002
SteelDoor,100.00000000000003
Detergant,100.00000000000003
Bicycle,100.00000000000003
OutdoorCloths,100.00000000000003
Pillows,100.00000000000003
InteriorDoor,100.00000000000003
Bedlinen,41.00000000000001
PrayerRug,100.00000000000003

